,Date,Hour,SUMS
452,19.01.2016,20,0
453,19.01.2016,21,0
454,19.01.2016,22,0
455,19.01.2016,23,0
456,20.01.2016,0,0
457,20.01.2016,1,0
458,20.01.2016,2,0
459,20.01.2016,3,0
460,20.01.2016,4,0
461,20.01.2016,5,0
462,20.01.2016,6,0
463,20.01.2016,7,20.341
464,20.01.2016,8,129.572
465,20.01.2016,9,165.664
466,20.01.2016,10,295.675
467,20.01.2016,11,401.598
468,20.01.2016,12,309.703
469,20.01.2016,13,310.364
470,20.01.2016,14,189.755
471,20.01.2016,15,54.062
472,20.01.2016,16,0
473,20.01.2016,17,0
474,20.01.2016,18,0
475,20.01.2016,19,0
476,20.01.2016,20,0
477,20.01.2016,21,0
478,20.01.2016,22,0
479,20.01.2016,23,0
480,21.01.2016,0,0
481,21.01.2016,1,0
482,21.01.2016,2,0
483,21.01.2016,3,0
484,21.01.2016,4,0
485,21.01.2016,5,0
486,21.01.2016,6,0
487,21.01.2016,7,4.828
488,21.01.2016,8,36.103
489,21.01.2016,9,101.793
490,21.01.2016,10,138.323
491,21.01.2016,11,134.641
492,21.01.2016,12,142.595
493,21.01.2016,13,106.484
494,21.01.2016,14,62.861
495,21.01.2016,15,27.114
496,21.01.2016,16,0
497,21.01.2016,17,0
498,21.01.2016,18,0
499,21.01.2016,19,0
500,21.01.2016,20,0
501,21.01.2016,21,0
502,21.01.2016,22,0
503,21.01.2016,23,0
504,22.01.2016,0,0
505,22.01.2016,1,0
506,22.01.2016,2,0
507,22.01.2016,3,0
508,22.01.2016,4,0
509,22.01.2016,5,0
510,22.01.2016,6,0
511,22.01.2016,7,96.1
512,22.01.2016,8,256.845
513,22.01.2016,9,378.084
514,22.01.2016,10,464.575
515,22.01.2016,11,491.541
516,22.01.2016,12,458.631
517,22.01.2016,13,368.278
518,22.01.2016,14,234.032
519,22.01.2016,15,67.632
520,22.01.2016,16,0
521,22.01.2016,17,0
522,22.01.2016,18,0
523,22.01.2016,19,0
524,22.01.2016,20,0
525,22.01.2016,21,0
526,22.01.2016,22,0
527,22.01.2016,23,0
528,23.01.2016,0,0
529,23.01.2016,1,0
530,23.01.2016,2,0
531,23.01.2016,3,0
532,23.01.2016,4,0
533,23.01.2016,5,0
534,23.01.2016,6,0
535,23.01.2016,7,1.882
536,23.01.2016,8,14.554
537,23.01.2016,9,55.399
538,23.01.2016,10,82.627
539,23.01.2016,11,55.275
540,23.01.2016,12,64.589
541,23.01.2016,13,43.902
542,23.01.2016,14,39.415
543,23.01.2016,15,5.655
544,23.01.2016,16,0
545,23.01.2016,17,0
546,23.01.2016,18,0
547,23.01.2016,19,0
548,23.01.2016,20,0
549,23.01.2016,21,0
550,23.01.2016,22,0
551,23.01.2016,23,0
552,24.01.2016,0,0
553,24.01.2016,1,0
554,24.01.2016,2,0
555,24.01.2016,3,0
556,24.01.2016,4,0
557,24.01.2016,5,0
558,24.01.2016,6,0
559,24.01.2016,7,22.237
560,24.01.2016,8,68.216
561,24.01.2016,9,56.498
562,24.01.2016,10,49.16
563,24.01.2016,11,84.814
564,24.01.2016,12,103.719
565,24.01.2016,13,151.035
566,24.01.2016,14,119.023
567,24.01.2016,15,16.212
568,24.01.2016,16,0
569,24.01.2016,17,0
570,24.01.2016,18,0
571,24.01.2016,19,0
572,24.01.2016,20,0
573,24.01.2016,21,0
574,24.01.2016,22,0
575,24.01.2016,23,0
576,25.01.2016,0,0
577,25.01.2016,1,0
578,25.01.2016,2,0
579,25.01.2016,3,0
580,25.01.2016,4,0
581,25.01.2016,5,0
582,25.01.2016,6,0
583,25.01.2016,7,23.099
584,25.01.2016,8,89.23
585,25.01.2016,9,217.562
586,25.01.2016,10,351.214
587,25.01.2016,11,401.189
588,25.01.2016,12,379.29
589,25.01.2016,13,299.447
590,25.01.2016,14,208.915
591,25.01.2016,15,67.363
592,25.01.2016,16,0
593,25.01.2016,17,0
594,25.01.2016,18,0
595,25.01.2016,19,0
596,25.01.2016,20,0
597,25.01.2016,21,0
598,25.01.2016,22,0
599,25.01.2016,23,0
600,26.01.2016,0,0
601,26.01.2016,1,0
602,26.01.2016,2,0
603,26.01.2016,3,0
604,26.01.2016,4,0
605,26.01.2016,5,0
606,26.01.2016,6,0
607,26.01.2016,7,20.689
608,26.01.2016,8,53.717
609,26.01.2016,9,120.051
610,26.01.2016,10,230.75
611,26.01.2016,11,410.794
612,26.01.2016,12,401.468
613,26.01.2016,13,325.184
614,26.01.2016,14,213.278
615,26.01.2016,15,72.474
616,26.01.2016,16,0
617,26.01.2016,17,0
618,26.01.2016,18,0
619,26.01.2016,19,0
620,26.01.2016,20,0
621,26.01.2016,21,0
622,26.01.2016,22,0
623,26.01.2016,23,0
624,27.01.2016,0,0
625,27.01.2016,1,0
626,27.01.2016,2,0
627,27.01.2016,3,0
628,27.01.2016,4,0
629,27.01.2016,5,0
630,27.01.2016,6,0
631,27.01.2016,7,62.474
632,27.01.2016,8,209.462
633,27.01.2016,9,246.274
634,27.01.2016,10,326.625
635,27.01.2016,11,393.554
636,27.01.2016,12,337.793
637,27.01.2016,13,228.095
638,27.01.2016,14,116.104
639,27.01.2016,15,47.339
640,27.01.2016,16,0
